symptom_id,name,specialty_hint,severity,description
1,"đau đầu","Thần kinh","mild","Đau vùng đầu, có thể một bên hoặc toàn bộ đầu"
2,"đau nửa đầu","Thần kinh","moderate","Đau dữ dội một bên đầu, thường kèm buồn nôn"
3,"sốt","Nội tổng quát","mild","Nhiệt độ cơ thể trên 37.5°C"
4,"ho","Hô hấp","mild","Ho khan hoặc ho có đờm"
5,"ho có đờm","Hô hấp","moderate","Ho kèm theo chất nhầy hoặc dịch"
6,"khó thở","Tim mạch","severe","Cảm giác thiếu không khí, thở khó khăn"
7,"đau ngực","Tim mạch","severe","Đau hoặc tức ngực, có thể lan ra cánh tay"
8,"tim đập nhanh","Tim mạch","moderate","Nhịp tim nhanh hơn bình thường trên 100 lần/phút"
9,"đau bụng","Tiêu hóa","mild","Đau vùng bụng, có thể trên hoặc dưới rốn"
10,"buồn nôn","Tiêu hóa","mild","Cảm giác muốn nôn, có thể kèm nôn"
11,"nôn","Tiêu hóa","moderate","Đẩy thức ăn hoặc dịch ra ngoài qua miệng"
12,"tiêu chảy","Tiêu hóa","mild","Phân lỏng, đi ngoài nhiều lần trong ngày"
13,"táo bón","Tiêu hóa","mild","Khó đi ngoài, phân cứng, ít lần hơn bình thường"
14,"ợ chua","Tiêu hóa","mild","Dịch vị trào lên thực quản, có vị chua"
15,"đau họng","Tai Mũi Họng","mild","Đau hoặc rát vùng cổ họng"
16,"nghẹt mũi","Tai Mũi Họng","mild","Khó thở qua mũi, mũi bị tắc"
17,"chảy mũi","Tai Mũi Họng","mild","Dịch mũi chảy ra liên tục"
18,"ù tai","Tai Mũi Họng","moderate","Tiếng vang hoặc tiếng ồn trong tai"
19,"ngứa","Da liễu","mild","Cảm giác khó chịu muốn gãi trên da"
20,"mẩn đỏ","Da liễu","mild","Nổi đỏ trên da, có thể thành mảng"
21,"mụn","Da liễu","mild","Nốt sần trên da, có thể có mủ"
22,"phát ban","Da liễu","moderate","Nổi phát ban đỏ trên diện rộng"
23,"đau khớp","Cơ Xương Khớp","moderate","Đau tại các khớp tay, chân, lưng"
24,"gãy xương","Chấn thương chỉnh hình","severe","Đau dữ dội tại vị trí gãy, mất vận động"
25,"bong gân","Chấn thương chỉnh hình","moderate","Đau và sưng vùng khớp do dây chằng bị giãn"
26,"đau lưng","Cơ Xương Khớp","mild","Đau vùng lưng dưới hoặc trên"
27,"đau cột sống","Cơ Xương Khớp","moderate","Đau dọc theo cột sống"
28,"mệt mỏi","Nội tổng quát","mild","Cảm giác kiệt sức, không có năng lượng"
29,"chóng mặt","Nội tổng quát","moderate","Cảm giác quay cuồng, mất thăng bằng"
30,"sụt cân","Nội tiết","moderate","Mất cân không rõ nguyên nhân"
31,"tăng cân","Nội tiết","mild","Tăng cân nhanh trong thời gian ngắn"
32,"khát nước","Nội tiết","mild","Cảm giác khát nước liên tục"
33,"tiểu nhiều","Nội tiết","mild","Đi tiểu thường xuyên hơn bình thường"
34,"tê bì","Thần kinh","moderate","Mất cảm giác hoặc ngứa ran ở tay chân"
35,"liệt","Thần kinh","severe","Mất khả năng vận động một phần hoặc toàn bộ"
36,"co giật","Thần kinh","severe","Cơ thể co giật bất thường"
37,"mất ngủ","Thần kinh","mild","Khó ngủ hoặc ngủ không sâu"
38,"suy giảm trí nhớ","Lão khoa","moderate","Quên quên nhớ nhớ, giảm khả năng ghi nhớ"
39,"đau mắt","Mắt","mild","Đau hoặc nhức mắt"
40,"chảy nước mắt","Mắt","mild","Nước mắt chảy liên tục"
41,"nhìn mờ","Mắt","moderate","Giảm thị lực, nhìn không rõ"
42,"đau bụng dưới","Sản phụ khoa","mild","Đau vùng bụng dưới rốn"
43,"rối loạn kinh nguyệt","Sản phụ khoa","mild","Kinh nguyệt không đều hoặc mất kinh"
44,"khám thai","Sản phụ khoa","mild","Siêu âm và kiểm tra thai kỳ"
45,"sốt cao","Truyền nhiễm","severe","Nhiệt độ trên 39°C"
46,"viêm họng","Tai Mũi Họng","mild","Viêm amidan hoặc viêm họng cấp tính"
47,"viêm xoang","Tai Mũi Họng","moderate","Viêm các xoang mũi, đau vùng mặt"
48,"viêm phổi","Hô hấp","severe","Nhiễm trùng phổi, ho và sốt cao"
49,"hen suyễn","Hô hấp","moderate","Khó thở từng cơn, khò khè"
50,"thoái hóa","Cơ Xương Khớp","moderate","Thoái hóa khớp, đau khi vận động"
